source,arm,channel,window,unit,recall,recall_lo,recall_hi,recall_p05,recall_p95,exc_circ,exc_circ_lo,exc_circ_hi,exc_circ_p05,exc_circ_p95,exc_cross,exc_cross_lo,exc_cross_hi,exc_cross_p05,exc_cross_p95,events_per_f0,events_per_f0_lo,events_per_f0_hi,events_per_f0_p05,events_per_f0_p95,event_rate,event_rate_lo,event_rate_hi,event_rate_p05,event_rate_p95,n,n_clusters,scope,prec_exc,prec_exc_lo,prec_exc_hi,coup_minus_rev,coup_minus_rev_lo,coup_minus_rev_hi
emote,noise,brow_outer,plan,all_nonrate_rungs item (cell bootstrap),0.63671,0.5117,0.76468,,,0.059258,-0.019986,0.14712,,,0.073087,-0.096599,0.26585,,,1.2575,0.80114,1.8782,,,1.3016,0.96195,1.6635,,,168,12,all_nonrate_rungs,0.031058,-0.064492,0.14438,,,
emote,noise,brow_outer,post,all_nonrate_rungs item (cell bootstrap),0.4121,0.27877,0.552,,,0.038816,-0.15105,0.20544,,,,,,,,1.2575,0.80114,1.8782,,,1.3016,0.96195,1.6635,,,168,12,all_nonrate_rungs,0.10318,-0.044356,0.26907,,,
medtalk,clean,brow_inner,plan,c100 item (cell bootstrap),0.48095,0.26151,0.6953,,,-0.11349,-0.23446,-0.0094315,,,-0.035681,-0.32526,0.24788,,,1.1833,0.78611,1.6168,,,1.2145,0.87131,1.5389,,,12,12,c100,-0.06598,-0.17731,0.051567,0.051467,-0.064091,0.16124
medtalk,clean,brow_inner,post,c100 item (cell bootstrap),0.34048,0.146,0.5556,,,-0.013613,-0.15527,0.1378,,,,,,,,1.1833,0.78611,1.6168,,,1.2145,0.87131,1.5389,,,12,12,c100,-0.050336,-0.18169,0.075915,0.051467,-0.064091,0.16124
medtalk,clean,brow_inner,plan,all_nonrate_rungs item (cell bootstrap),0.49507,0.32775,0.65362,,,-0.038784,-0.13478,0.055671,,,0.031661,-0.17517,0.24445,,,1.0545,0.7382,1.3671,,,1.1002,0.84499,1.3383,,,168,12,all_nonrate_rungs,-0.019742,-0.13878,0.11027,-0.0049663,-0.11414,0.10412
medtalk,clean,brow_inner,post,all_nonrate_rungs item (cell bootstrap),0.30808,0.17497,0.45406,,,-0.014122,-0.10711,0.095891,,,,,,,,1.0545,0.7382,1.3671,,,1.1002,0.84499,1.3383,,,168,12,all_nonrate_rungs,-0.041277,-0.16168,0.084445,-0.0049663,-0.11414,0.10412
medtalk,clean,brow_outer,plan,c100 item (cell bootstrap),0.47262,0.28056,0.65323,,,-0.028083,-0.18586,0.12984,,,0.034259,-0.1875,0.25428,,,1.0583,0.62778,1.7028,,,1.0536,0.77742,1.4222,,,12,12,c100,-0.0289,-0.19332,0.14118,0.044655,-0.098706,0.19354
medtalk,clean,brow_outer,post,c100 item (cell bootstrap),0.23492,0.1,0.40556,,,-0.07522,-0.27493,0.12875,,,,,,,,1.0583,0.62778,1.7028,,,1.0536,0.77742,1.4222,,,12,12,c100,-0.024741,-0.20248,0.18346,0.044655,-0.098706,0.19354
medtalk,clean,brow_outer,plan,all_nonrate_rungs item (cell bootstrap),0.45933,0.29378,0.62545,,,-0.032828,-0.18166,0.10184,,,0.016246,-0.15491,0.19058,,,1.0173,0.61647,1.5885,,,1.0242,0.76394,1.3502,,,168,12,all_nonrate_rungs,-0.044872,-0.18238,0.094261,0.054913,-0.042336,0.16639
medtalk,clean,brow_outer,post,all_nonrate_rungs item (cell bootstrap),0.26746,0.15119,0.39842,,,-0.032136,-0.14764,0.10937,,,,,,,,1.0173,0.61647,1.5885,,,1.0242,0.76394,1.3502,,,168,12,all_nonrate_rungs,-0.016118,-0.15708,0.15949,0.054913,-0.042336,0.16639
